AC093423.3	1	+	89866133,89928051,89933247	9.15673e-05,1.74544e-05,8.33695e-05	2,1,7
HLA-A	6	+	29945731,29945870	0.0941792,0.0361603	25,15
HLA-B	6	-	31353871	0.171848	104
HLA-C	6	-	31268748	0.0273554	69
HLA-DMB	6	-	32934628	0.0146199	5
HLA-DPB1	6	+	33086689,33087201	0.106082,0.00583578	16,2
HLA-DQA2	6	+	32746415,32746583	0.0892757,0.0059535	1,1
HLA-DRB1	6	-	32578768,32578878	0.0273839,0.194257	8,41
HLA-DRB5	6	-	32517342	0.0555556	22
HSP90AB1	6	+	44253853	0.0313725	8
LST1	6	+	31588893	0.0292208	9
LY86	6	+	6654862	0.0212766	5
NEDD9	6	-	11183297	0.000131562	4
PPP1R18	6	-	30676388	0.00227273	2
RNASET2	6	-	166929503	0.000389524	6
RPS10	6	-	34417453	0.00411523	3
SF3B5	6	-	144094880	0.011236	4
SSR1	6	-	7268305	0.000138728	3
TAPBP	6	-	33299693	0.000968054	2
TMEM14C	6	+	10730827	0.0124224	1
VPS52	6	-	33256464	7.84021e-05	1
YIPF3	6	-	43511826	0.000470588	2
AC004922.1	7	+	99394652	0.272715	59
ACTB	7	-	5527146,5527287	0.0728602,0.00268145	138,4
AOAH	7	-	36512948	0.00660066	2
ARF5	7	+	127591601	0.0231788	7
ARL4A	7	+	12689409	0.0108696	6
ARPC1B	7	+	99394118,99394755	0.0869785,0.20195	1,63
ATP6V1F	7	+	128865772	0.0412371	8
BRI3	7	+	98291435	0.0625	12
CHCHD2	7	-	56101568	0.0319149	9
FBXL18	7	-	5431334	0.000363592	6
GGCT	7	-	30496620	0.000868432	2
GIMAP1	7	+	150721083	0.0189873	3
GNB2	7	+	100678967	0.0240964	4
GSAP	7	-	77310750	0.00329489	2
GSTK1	7	+	143269143	0.01875	6
GTF2IRD2	7	-	74796143	0.011583	6
LAMTOR4	7	+	100153962	0.0472103	11
LUC7L2	7	+	139404076	0.00038981	2
MRPS24	7	-	43866557	0.035461	5
MTPN	7	-	135926760	0.000947867	3
MYO1G	7	-	44962661	0.000143246	2
NDUFB2	7	+	140706620	0.000468439	4
PILRA	7	+	100400011	0.0305143	7
RAC1	7	+	6402666	0.00909091	2
RSPH10B	7	-	5925549	0.000223376	4
SLC12A9	7	+	100866772	0.011976	2
SMARCD3	7	-	151238972	0.000797448	3
SRPK2	7	-	105203693	7.52369e-05	7
TMEM176B	7	-	150791284	0.0243902	6
URGCP-MRPS24	7	-	43866557	0.00329489	8
YKT6	7	+	44214214	0.000896593	3
ZC3HAV1	7	-	139043519	0.000490918	2
ZYX	7	+	143390898	0.0231481	5
ASAP1	8	-	130052103	6.4598e-06	2
BNIP3L	8	+	26413128	0.000990884	4
CEBPD	8	-	47736908	0.0472637	19
CYC1	8	+	144097406	0.0285714	2
DCTN6	8	+	30183638	0.000167626	3
EEF1D	8	-	143579696,143579908	0.00924823,0.00883015	8,6
ERICH1	8	-	664199	0.00744417	3
GRINA	8	+	143993021	0.0111111	2
LEPROTL1	8	+	30108522,30177207	0.000555556,0.000306396	2,4
MAF1	8	+	144107284	0.0171429	3
NAPRT	8	-	143574784	0.00791557	3
NSD3	8	-	38269696	0.000504711	3
RNF139	8	+	124487770	0.015873	2
RPL30	8	-	98041720,98042642	0.162897,0.0041797	55,9
RPL8	8	-	144789765	0.0314492	36
RPS20	8	-	56072946	0.00947226	7
SGK3	8	+	66860284	0.00426743	3
SLA	8	-	133036723	0.00111111	2
TNFRSF10B	8	-	23020132	0.000313349	3
VDAC3	8	+	42405615	0.0196078	3
VPS28	8	-	144423600	0.00165221	4
YWHAZ	8	-	100916524	0.00167946	7
ZNF7	8	+	144838397	0.012931	3
AGPAT2	9	-	136673142	0.00328407	2
AL133410.3	9	-	35812959	0.000363042	2
ANP32B	9	+	98015606	0.0171429	3
ANXA1	9	+	73170392	0.0631579	18
B4GALT1	9	-	33110636	0.000709975	2
C9orf16	9	+	128163733	0.0254237	3
DPP7	9	-	137110541	0.000877193	3
EDF1	9	-	136862118	0.0118694	4
FCN1	9	-	134909584	0.112676	24
HNRNPK	9	-	83968082	0.00226586	3
NINJ1	9	-	93121488	0.00115993	3
NUP214	9	+	131233611	0.00272884	7
PLIN2	9	-	19115769	0.0083682	3
RPL35	9	-	124857879	0.0135823	8
SEC61B	9	+	99230494	0.0428571	3
SYK	9	+	90896139	0.00927644	5
COX7B	X	+	77905286	0.00117325	3
CXorf38	X	-	40626920	0.000541419	2
CXorf40A	X	+	149547080	0.0677966	8
F8A3	X	-	155456913	0.00350263	2
FLNA	X	-	154348523,154348672	0.000856502,7.20929e-05	13,1
IGBP1	X	+	70166311	0.0181818	6
NDUFA1	X	+	119876629	0.0315789	3
P2RY8	X	-	1462571	0.00103199	2
RPL36A	X	+	101395765	0.122707	19
RPL39	X	-	119786505	0.162921	29
SAT1	X	+	23786168	0.0641026	20
SLC25A5	X	+	119471233	0.0457143	8
SLC25A6	X	-	1386269	0.0539904	17
TFE3	X	-	49028725	0.000190114	1
TIMP1	X	+	47586786	0.0210526	2
TMSB4X	X	+	12977226	0.46506	193
UBA1	X	+	47215112	0.010929	2
UXT	X	-	47651797	0.00221216	11
WAS	X	+	48691373	0.0189573	4
WDR45	X	-	49074428	0.00456621	2
